league_name,club,club_id,club_url,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
Bundesliga,Eintracht Frankfurt,24,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2025,€13.71m,€383.90m,13710000.0,383900000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,RB Leipzig,23826,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2025,€12.63m,€366.25m,12630000.0,366250000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,VfB Stuttgart,79,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2025,€10.61m,€339.43m,10610000.0,339430000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,VfL Wolfsburg,82,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2025,€8.69m,€251.90m,8690000.0,251900000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,SV Werder Bremen,86,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2025,€5.74m,€177.80m,5740000.0,177800000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,TSG 1899 Hoffenheim,533,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2025,€5.23m,€172.55m,5230000.0,172550000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,SC Freiburg,60,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2025,€6.03m,€162.70m,6030000.0,162700000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Borussia Mönchengladbach,18,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2025,€5.14m,€154.18m,5140000.0,154180000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,FC Augsburg,167,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2025,€5.22m,€151.38m,5220000.0,151380000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Hamburger SV,41,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2025,€3.55m,€106.45m,3550000.0,106450000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,FC St. Pauli,35,https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35/saison_id/2025,€2.21m,€64.08m,2210000.0,64080000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
División de Fútbol Profesional,San Antonio Bulo Bulo,92979,https://www.transfermarkt.com/san-antonio-bulo/startseite/verein/92979/saison_id/2024,222 K €,"6,43 mio. €",222000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
EFL Championship,Ipswich Town,677,https://www.transfermarkt.com/ipswich-town/startseite/verein/677/saison_id/2025,€7.35m,€198.35m,7350000.0,198350000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Leicester City,1003,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2025,€6.25m,€168.75m,6250000.0,168750000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Sheffield United,350,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2025,€3.89m,€132.18m,3890000.0,132180000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Coventry City,990,https://www.transfermarkt.com/coventry-city/startseite/verein/990/saison_id/2025,€4.69m,€107.95m,4690000.0,107950000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Norwich City,1123,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2025,€3.44m,€103.20m,3440000.0,103200000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Birmingham City,337,https://www.transfermarkt.com/birmingham-city/startseite/verein/337/saison_id/2025,€3.93m,€102.15m,3930000.0,102150000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,West Bromwich Albion,984,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2025,€3.69m,€81.25m,3690000.0,81250000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Swansea City,2288,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2025,€2.90m,€72.55m,2900000.0,72550000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Bristol City,698,https://www.transfermarkt.com/bristol-city/startseite/verein/698/saison_id/2025,€2.49m,€72.35m,2490000.0,72350000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Stoke City,512,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2025,€2.32m,€60.30m,2320000.0,60300000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Hull City,3008,https://www.transfermarkt.com/hull-city/startseite/verein/3008/saison_id/2025,€2.02m,€56.58m,2020000.0,56580000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Millwall FC,1028,https://www.transfermarkt.com/fc-millwall/startseite/verein/1028/saison_id/2025,€1.66m,€54.68m,1660000.0,54680000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Derby County,22,https://www.transfermarkt.com/derby-county/startseite/verein/22/saison_id/2025,€1.92m,€51.93m,1920000.0,51930000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Queens Park Rangers,1039,https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039/saison_id/2025,€1.65m,€47.95m,1650000.0,47950000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Preston North End,466,https://www.transfermarkt.com/preston-north-end/startseite/verein/466/saison_id/2025,€1.55m,€44.85m,1550000.0,44850000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Blackburn Rovers,164,https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164/saison_id/2025,€1.46m,€37.90m,1460000.0,37900000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Oxford United,988,https://www.transfermarkt.com/oxford-united/startseite/verein/988/saison_id/2025,€1.19m,€35.70m,1190000.0,35700000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Charlton Athletic,358,https://www.transfermarkt.com/charlton-athletic/startseite/verein/358/saison_id/2025,€1.02m,€25.50m,1020000.0,25500000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL Championship,Sheffield Wednesday,1035,https://www.transfermarkt.com/sheffield-wednesday/startseite/verein/1035/saison_id/2025,€822k,€19.73m,822000.0,19730000.0,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2
EFL League One,Luton Town,1031,https://www.transfermarkt.com/luton-town/startseite/verein/1031/saison_id/2025,€1.56m,€46.73m,1560000.0,46730000.0,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3
EFL League One,Cardiff City,603,https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2025,€1.27m,€31.78m,1270000.0,31780000.0,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3
EFL League One,Huddersfield Town,1110,https://www.transfermarkt.com/huddersfield-town/startseite/verein/1110/saison_id/2025,€737k,€19.90m,737000.0,19900000.0,https://www.transfermarkt.com/league-one/startseite/wettbewerb/GB3
