club,league_name,country_name,average_rating,coach_name,stadium_name
Atlético Tucumán,Primera División,Argentina,69,lucas pusineri,Estadio Nacional
Burgos CF,La Liga 2,Spain,69,luis miguel ramis monfort,Court Lane
Gil Vicente FC,Primeira Liga,Portugal,69,paulo cesar da silva peixoto,Court Lane
Atlético Bucaramanga,Primera División,Colombia,69,leonel de jesus alvarez zuleta,Euro Arena
Tigre,Primera División,Argentina,69,diego omar dabove,Crown Lane
Club Atlético Unión,Primera División,Argentina,69,leonardo carol madelon,Estadio Nacional
Instituto Atlético Central Córdoba,Primera División,Argentina,69,diego omar dabove,Estadio Nacional
Moreirense FC,Primeira Liga,Portugal,69,vasco maria de albuquerque botelho da costa,Longville Stadium
St. Louis CITY SC,Major League Soccer,United States,69,david critchley,Stadion Neder
FC Arouca,Primeira Liga,Portugal,69,vasco cesar freire de seabra,Aloha Park
Luton Town,EFL League One,England,69,matt bloomfield,Kenilworth Road
Barcelona de Guayaquil,Serie A,Ecuador,69,ismael rescalvo sanchez,Stadion Hanguk
Barracas Central,Primera División,Argentina,69,ruben dario insua,Longville Stadium
Spezia,Serie B,Italy,69,luca dangelo,Stadion 23. Maj
Jagiellonia Białystok,Ekstraklasa,Poland,69,adrian siemieniec,Waldstadion
Kayserispor,Turkish Süper Lig,Türkiye,69,markus gisdol,Sanderson Park
Oxford United,EFL Championship,England,69,gary rowett,Court Lane
Molde FK,Eliteserien,Norway,69,magne hoseth,Stadion Neder
Gençlerbirliği SK,Turkish Süper Lig,Türkiye,69,huseyin eroglu,Stade Municipal
Sporting Cristal,Liga I,Peru,69,paulo autuori de mello,Arena del Centenario
KVC Westerlo,Belgian Pro League,Belgium,69,issame charai,Molton Road
Independiente Rivadavia,Primera División,Argentina,69,alfredo jesus berti,Aloha Park
Cádiz CF,La Liga 2,Spain,69,gaizka garitano aguirre,Nuevo Mirandilla
New York Red Bulls,Major League Soccer,United States,69,sandro schwarz,Red Bull Arena (New Jersey)
Chicago Fire,Major League Soccer,United States,69,gregg berhalter,El Monumento
Vitória,Serie A,Brazil,69,jair zaksauskas ribeiro ventura,Arena del Centenario
Houston Dynamo,Major League Soccer,United States,69,ben olsen,Stadion Neder
Ulsan HD FC,K League 1,Korea Republic,69,tae yong shin,Waldstadion
Jeonbuk Hyundai Motors,K League 1,Korea Republic,69,gustavo augusto poyet dominguez,Ivy Lane
BK Häcken,Allsvenskan,Sweden,69,jens gustafsson,Molton Road
Racing Santander,La Liga 2,Spain,69,jose alberto lopez menendez,Stade Municipal
Real Valladolid CF,La Liga 2,Spain,69,jorge guillermo almada alves,Estadio José Zorrilla
Modena,Serie B,Italy,69,andrea sottil,Crown Lane
SD Eibar,La Liga 2,Spain,69,benat san jose gil,Municipal de Ipurua
Real Salt Lake,Major League Soccer,United States,69,pablo andres mastroeni,Crown Lane
Orlando City SC,Major League Soccer,United States,69,oscar alexander pareja gomez,Ivy Lane
CFR Cluj,Liga I,Romania,69,andrea mandorlini,Forest Park Stadium (Square Ground)
Al Ettifaq,Saudi Pro League,Saudi Arabia,69,saad ali al shehri,Stade Kokoto
Hannover 96,2. Bundesliga,Germany,69,christian titz,HDI-Arena
Antalyaspor,Turkish Süper Lig,Türkiye,69,emre belozoglu,Stadion Olympik
Royal Antwerp FC,Belgian Pro League,Belgium,69,stef wils,Forest Park Stadium (Square Ground)
Standard de Liège,Belgian Pro League,Belgium,69,vincent euvrard,Waldstadion
América de Cali,Primera División,Colombia,69,david gonzalez giraldo,O Dromo
Austin FC,Major League Soccer,United States,69,nicolas estevez martinez,Molton Road
Once Caldas,Primera División,Colombia,69,hernan dario herrera ramirez,O Dromo
Nashville SC,Major League Soccer,United States,69,brian joseph callaghan ii,Stadio Classico
Al Khaleej,Saudi Pro League,Saudi Arabia,69,giorgios donis,Stade Kokoto
San Lorenzo de Almagro,Primera División,Argentina,69,damian ayude,El Libertador
1. FC Magdeburg,2. Bundesliga,Germany,69,markus fiedler,Stadion Neder
