league_name,club,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
División de Fútbol Profesional,Blooming Santa Cruz,246 K €,"6,90 mio. €",246000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Club Deportivo Oriente Petrolero,182 K €,"6,73 mio. €",182000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,San Antonio Bulo Bulo,222 K €,"6,43 mio. €",222000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Gualberto Villarroel San José,171 K €,"5,99 mio. €",171000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,The Strongest La Paz,211 K €,"5,70 mio. €",211000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Real Oruro,138 K €,"5,25 mio. €",138000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Club Deportivo Guabirá,172 K €,"5,16 mio. €",172000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,CA Nacional Potosí,174 K €,"5,06 mio. €",174000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,CD Real Tomayapo,155 K €,"4,98 mio. €",155000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Universitario de Vinto,146 K €,"4,68 mio. €",146000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Club A.B.B.,107 K €,"4,06 mio. €",107000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Club Independiente Petrolero,105 K €,"3,45 mio. €",105000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Club Aurora,108 K €,"3,23 mio. €",108000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
División de Fútbol Profesional,Club Jorge Wilstermann,120 K €,"2,65 mio. €",120000.0,,https://www.transfermarkt.fr/division-profesional-apertura/startseite/wettbewerb/BO1A
